ticker,theme_slug,theme_label,linkage_one_liner,model_tier
SPGI,fintech,Fintech & digital money,Ratings and market data — Mobility spin,screen_only
SAF.PA,auto,Industrial automation & robotics,Aerospace engines and equipment — CFM International (Euronext Paris),full
CRM,ai,AI infra & compute,Enterprise AI agents on CRM data cloud,screen_only
005930.KS,ai,AI infra & compute,Samsung — memory and foundry,screen_only
SAND.ST,auto,Industrial automation & robotics,Machining tools mining equipment and digital (Stockholm),full
SAN.PA,health,Health Tech,French pharma — rare disease vaccines consumer (Euronext Paris),full
SNY,health,Healthcare innovation & AI in medicine,Vaccines and immunology — Dupixent partner,screen_only
SAP,cyber,Cybersecurity & digital trust,Enterprise ERP and cloud — European software,screen_only
SRPT,health,Health Tech,Sarepta gene therapy — regulatory binary,full
SRT3.DE,health,Health Tech,Lab equipment and bioprocessing — pharma supply chain (Xetra),full
SATL,quantum,Quantum / frontier compute,Satellogic — EO constellation operator,full
SU.PA,auto,Industrial automation & robotics,Energy management and industrial automation — global leader (Euronext Paris),full
SDGR,quantum,Quantum / frontier compute,Schrodinger — physics-based drug design,screen_only
SE,fintech,Fintech & digital money,Sea Limited — gaming and Shopee fintech,screen_only
LAES,quantum,Quantum / frontier compute,Post-quantum and semiconductor security angle,full
YSN.DE,cyber,Cybersecurity & digital trust,German IT security for public sector and critical infra (Xetra),full
SMTC,quantum,Quantum / frontier compute,Semtech LoRa plus signal integrity — mixed cycles,full
S,cyber,Cybersecurity & digital trust,Endpoint AI security — growth narrative unprofitable,full
SSIT.L,quantum,Quantum / frontier compute,Seraphim Space Investment Trust — UK space CEF (LSE),screen_only
NOW,cyber,Cybersecurity & digital trust,ServiceNow workflow and GRC digitization,full
SHEL,energy,Energy transition & grids,LNG and chemicals — capital framework,screen_only
SHOP,fintech,Fintech & digital money,Commerce platform — merchant solutions,screen_only
SIDU,quantum,Quantum / frontier compute,Sidus Space — small satellite and space services microcap,full
SIE.DE,auto,Industrial automation & robotics,Digital Industries factory automation and smart infrastructure (Xetra),full
ENR.DE,energy,Energy transition & grids,Grid transformers offshore wind and gas turbines (Xetra),full
SLAB,ai,AI infra & compute,IoT MCUs and mesh — industrial connectivity,full
SITM,ai,AI infra & compute,MEMS timing — precision clocks for comms and DC,full
SWKS,ai,AI infra & compute,RF front-end modules — handset cyclicality vs content gains,full
SLB,energy,Energy transition & grids,OFSP digital drilling international mix,full
SN.L,health,Health Tech,Surgical devices orthopaedics and wound management (LSE),full
SMIN.L,auto,Industrial automation & robotics,Detection threat and contraband screening (LSE),full
SNOW,cyber,Cybersecurity & digital trust,Data cloud — governance and sharing workloads,full
SOFI,fintech,Fintech & digital money,Digital bank — member growth and NIM,screen_only
SOITEC.PA,ai,AI infra & compute,SOI wafers for RF power and photonics (Euronext Paris),full
SEDG,energy,Energy transition & grids,Solar inverters — inventory and competition,screen_only
SLDP,quantum,Quantum / frontier compute,Solid-state battery developer,screen_only
6758.T,ai,AI infra & compute,Sony Japan listing — verify local ticker,screen_only
SONY,ai,AI infra & compute,Sony — gaming and sensors,screen_only
SO,energy,Energy transition & grids,Regulated Southeast electric utility,full
LUV,fintech,Fintech & digital money,Domestic leisure airline — cost advantage,screen_only
SPX.L,auto,Industrial automation & robotics,Spirax Group — steam thermal and peristaltic pumps (LSE),full
SPIR,quantum,Quantum / frontier compute,Spire Global — space-based data and analytics,full
SQ,fintech,Fintech & digital money,Block — seller ecosystem and bitcoin optionality,screen_only
SSE.L,energy,Energy transition & grids,UK renewables developer and regulated network operator (LSE),full
SWK,auto,Industrial automation & robotics,Stanley Black & Decker tools — margin reset,full
STEM,energy,Energy transition & grids,Battery storage software — project finance,screen_only
STM,ai,AI infra & compute,European semiconductor — auto industrial IoT power (NYSE),full
STMN.SW,health,Health Tech,Dental implants and digital dentistry (Swiss),full
SYK,health,Health Tech,Mako robotic surgery and orthopedic device install base,full
SU,energy,Energy transition & grids,Canadian integrated — oil sands and refining,screen_only
RUN,energy,Energy transition & grids,Residential solar — loan and attach,screen_only
SMCI,ai,AI infra & compute,AI server assembly and rack integration — high growth but governance risks,full
SWTX,health,Health Tech,SpringWorks oncology rare disease — trial readouts,full
SXS.L,auto,Industrial automation & robotics,Precision instrumentation and controls (LSE),full
SNPS,ai,AI infra & compute,EDA and design software for chip complexity,full
TMUS,cyber,Cybersecurity & digital trust,US wireless share gains — integration synergies,screen_only
TSM,ai,AI infra & compute,Foundry monopoly on advanced nodes 3nm and 2nm,full
TTWO,ai,AI infra & compute,Take-Two — GTA pipeline,screen_only
TRGP,energy,Energy transition & grids,Gathering and processing Permian Delaware,full
TRP,energy,Energy transition & grids,Gas pipelines and power — Bruce Power,screen_only
FTI,energy,Energy transition & grids,Subsea — offshore wind and oil,screen_only
TDOC,health,Health Tech,Teladoc virtual care — profitability path,full
TDY,auto,Industrial automation & robotics,Teledyne imaging instruments and defense,full
TSAT,quantum,Quantum / frontier compute,Telesat — LEO constellation development,full
TENB,cyber,Cybersecurity & digital trust,Exposure management and vulnerability scanning,full
TER,auto,Industrial automation & robotics,Semiconductor test duopoly plus Universal Robots collaborative robotics,full
TXN,ai,AI infra & compute,Analog and embedded semis — broad industrial + auto exposure,full
TXT,auto,Industrial automation & robotics,Bell aviation plus industrial and Textron Systems,full
HO.PA,auto,Industrial automation & robotics,Defence electronics radar and cybersecurity systems (Euronext Paris),full
CI,health,Health Tech,Cigna Evernorth pharmacy benefits mix,full
TTD,ai,AI infra & compute,Programmatic ads — CTV growth,screen_only
WISE,fintech,Fintech & digital money,Wise — cross-border transfers and hold,screen_only
TMO,health,Health Tech,Life sciences tools and instruments — essential but heavily leveraged,full
TTE,energy,Energy transition & grids,European major — LNG and renewables,screen_only
TT,auto,Industrial automation & robotics,HVAC and commercial climate systems,full
RIG,energy,Energy transition & grids,Offshore drilling — day rates,screen_only
TRMB,auto,Industrial automation & robotics,Precision agriculture and construction positioning tech,full
TTMI,ai,AI infra & compute,PCB fabrication for networking and compute boards,full
TWST,quantum,Quantum / frontier compute,Twist Bioscience — DNA synthesis,screen_only
UBER,fintech,Fintech & digital money,Mobility and delivery — profitability and autonomy,screen_only
UCB.BR,health,Health Tech,Neurology and immunology pharma — Bimzelx (Brussels),full
PATH,cyber,Cybersecurity & digital trust,RPA plus process mining — enterprise automation,full
UNP,auto,Industrial automation & robotics,Western US rail — pricing and efficiency,screen_only
UAL,fintech,Fintech & digital money,Airline — transatlantic and Pacific mix,screen_only
UPS,auto,Industrial automation & robotics,Parcel logistics — yield and union contract,screen_only
UNH,health,Health Tech,UnitedHealthcare plus Optum vertical integration,full
U,ai,AI infra & compute,Unity — game engine and ads,screen_only
OLED,ai,AI infra & compute,Universal display materials — OLED emitter chemistry,full
UEIC,ai,AI infra & compute,Universal remotes and smart home control chips,full
URG,energy,Energy transition & grids,ISR uranium producer — small cap volatility,full
UEC,energy,Energy transition & grids,US ISR uranium developer — spot price leverage,full
VAL,energy,Energy transition & grids,Offshore drilling — fleet quality,screen_only
VLO,energy,Energy transition & grids,Independent refiner — renewable diesel projects,full
VMI,auto,Industrial automation & robotics,Valmont infrastructure irrigation poles,full
SMH,ai,AI infra & compute,VanEck Semiconductor ETF — semi sector basket,screen_only
VAT.SW,ai,AI infra & compute,Vacuum valves for semiconductor fabs — monopoly niche (Swiss),full
VEEV,health,Health Tech,Cloud software for pharma and life sciences — quality SaaS compounder,full
VZ,cyber,Cybersecurity & digital trust,Wireless duopoly — dividend yield play,screen_only
VRTX,health,Health Tech,Cystic fibrosis franchise and pipeline diversification into pain,full
VRT,ai,AI infra & compute,Power and cooling for AI racks and data centres,full
VERV,quantum,Quantum / frontier compute,Cardiovascular gene editing,screen_only
VWS.CO,energy,Energy transition & grids,Wind turbine manufacturer — global leader (Copenhagen),full
VSAT,quantum,Quantum / frontier compute,Viasat — satellite broadband and Inmarsat integration,full
SPCE,quantum,Quantum / frontier compute,Suborbital tourism — cash burn and commercialization risk,full
VSH,ai,AI infra & compute,Diodes resistors inductors — passive components,full
VPG,quantum,Quantum / frontier compute,Vishay precision foil resistors — metrology niche,full
VST,energy,Energy transition & grids,Nuclear and gas fleet benefiting from AI-driven power demand,full
VOYG,quantum,Quantum / frontier compute,Voyager Technologies — defense and space systems,full
DIS,ai,AI infra & compute,Media parks and streaming — ESPN option,screen_only
WM,energy,Energy transition & grids,Waste — landfill gas and recycling,screen_only
WAT,health,Healthcare innovation & AI in medicine,Waters — biologics QA and LC-MS,screen_only
WSO,auto,Industrial automation & robotics,HVAC distribution scale — North America residential mix,full
WEC,energy,Energy transition & grids,Regulated electric and gas utility,full
WFC,fintech,Fintech & digital money,Retail bank turnaround — expense and asset cap,screen_only
WES,energy,Energy transition & grids,Western Midstream — Permian G&P,screen_only
WAB,auto,Industrial automation & robotics,Wabtec rail and freight electronics,full
WMB,energy,Energy transition & grids,Gas gathering and processing — Gulf exposure,full
WOLF,ai,AI infra & compute,SiC substrates and devices — EV and power switching,full
WWD,auto,Industrial automation & robotics,Woodward aircraft and industrial actuation controls,full
WDAY,cyber,Cybersecurity & digital trust,Workday HCM and financials cloud ERP,full
WS1V.HE,cyber,Cybersecurity & digital trust,WithSecure endpoint and cloud security — formerly F-Secure (Helsinki),full
XFAB.PA,ai,AI infra & compute,Specialty analog and mixed-signal foundry (Euronext Paris),full
XEL,energy,Energy transition & grids,Regulated electric utility and grid,full
XYL,auto,Industrial automation & robotics,Xylem water infrastructure — acquisition synergies,full
ZBRA,auto,Industrial automation & robotics,Zebra mobile computing and RFID tracking,full
ZI,cyber,Cybersecurity & digital trust,ZoomInfo go-to-market data — privacy/reg risk,full
ZBH,auto,Industrial automation & robotics,Zimmer Biomed — robotics knee mix,full
ZS,cyber,Cybersecurity & digital trust,Zero-trust SSE and SASE cloud security,full
